Transaction ID,Velocity ID,Alert Information,Alert Type,Is Alerted Transaction?,Account No,Ref No,Transaction Code Description,Currency,Transaction Amount,Transaction Date,Dr Cr,Beneficiary ID,Beneficiary Name,Beneficiary Last Name,Beneficiary Address,Beneficiary Type,Originator ID,Originator Name,Originator First Name,Originator Last Name,Originator Address
12315001,ALERT1234141,Large value card transactions for purchase,TM,Yes,HNTchdo_kjieo3ju4b2ki23ur23b2i4n2,HNT293482349210201,HNT_D_3000,USD,1050.00,2025-02-01,DR,234213241234,Apple Store,Apple Store,New York NY US,CreditParty,HNT23_jalskdjfalksjfiei234,Jhon Doe,Jhon,Doe,123 WhiteField DR US
12315002,ALERT1234141,Large repetitive card usage at the same merchant,TM,Yes,HNTchdo_kjieo3ju4b2ki23ur23b2i4n2,HNT293482349210202,HNT_D_3000,USD,2100.50,2025-02-01,CR,HNT23_jalskdjfalksjfiei234,Jhon Doe,Doe,123 WhiteField DR US,Individual,900000000001,Emily Carter,Emily,Carter,88 Pine St Boston MA US
12315003,ALERT1234141,"Large value card transactions for purchase, Large repetitive card usage at the same merchant",TM,Yes,HNTchdo_kjieo3ju4b2ki23ur23b2i4n2,HNT293482349210203,HNT_D_3000,USD,3200.75,2025-02-02,DR,234213241235,Amazon Marketplace,Amazon Marketplace,Seattle WA US,CreditParty,HNT23_jalskdjfalksjfiei234,Jhon Doe,Jhon,Doe,123 WhiteField DR US
12315003,ALERT1234141,Large value card transactions for purchase,TM,Yes,HNTchdo_kjieo3ju4b2ki23ur23b2i4n2,HNT293482349210203,HNT_D_3000,USD,3200.75,2025-02-02,DR,234213241235,Amazon Marketplace,Amazon Marketplace,Seattle WA US,CreditParty,HNT23_jalskdjfalksjfiei234,Jhon Doe,Jhon,Doe,123 WhiteField DR US
12315004,ALERT1234141,"Large repetitive card usage at the same merchant, Large value card transactions for purchase",TM,Yes,HNTchdo_kjieo3ju4b2ki23ur23b2i4n2,HNT293482349210204,HNT_D_3000,USD,4500.00,2025-02-03,CR,HNT23_jalskdjfalksjfiei234,Jhon Doe,Doe,123 WhiteField DR US,Individual,900000000002,Michael Brown,Michael,Brown,14 Lakeview Rd Austin TX US
12315005,ALERT1234141,Large value card transactions for purchase,TM,Yes,HNTchdo_kjieo3ju4b2ki23ur23b2i4n2,HNT293482349210205,HNT_D_3000,USD,1250.00,2025-02-03,DR,234213241236,Best Buy,Best Buy,Chicago IL US,CreditParty,HNT23_jalskdjfalksjfiei234,Jhon Doe,Jhon,Doe,123 WhiteField DR US
12315006,ALERT1234141,Large repetitive card usage at the same merchant,TM,Yes,HNTchdo_kjieo3ju4b2ki23ur23b2i4n2,HNT293482349210206,HNT_D_3000,USD,1500.00,2025-02-04,CR,HNT23_jalskdjfalksjfiei234,Jhon Doe,Doe,123 WhiteField DR US,Individual,900000000003,Sophia Nguyen,Sophia,Nguyen,250 Market St San Jose CA US
12315006,ALERT1234141,Large value card transactions for purchase,TM,Yes,HNTchdo_kjieo3ju4b2ki23ur23b2i4n2,HNT293482349210206,HNT_D_3000,USD,1500.00,2025-02-04,CR,HNT23_jalskdjfalksjfiei234,Jhon Doe,Doe,123 WhiteField DR US,Individual,900000000003,Sophia Nguyen,Sophia,Nguyen,250 Market St San Jose CA US
12315007,ALERT1234141,Large value card transactions for purchase,TM,Yes,HNTchdo_kjieo3ju4b2ki23ur23b2i4n2,HNT293482349210207,HNT_D_3000,USD,850.00,2025-02-05,DR,234213241234,Apple Store,Apple Store,New York NY US,CreditParty,HNT23_jalskdjfalksjfiei234,Jhon Doe,Jhon,Doe,123 WhiteField DR US
12315008,ALERT1234141,Large repetitive card usage at the same merchant,TM,Yes,HNTchdo_kjieo3ju4b2ki23ur23b2i4n2,HNT293482349210208,HNT_D_3000,USD,2750.00,2025-02-06,DR,234213241235,Amazon Marketplace,Amazon Marketplace,Seattle WA US,CreditParty,HNT23_jalskdjfalksjfiei234,Jhon Doe,Jhon,Doe,123 WhiteField DR US
12315008,ALERT1234141,Large repetitive card usage at the same merchant,TM,Yes,HNTchdo_kjieo3ju4b2ki23ur23b2i4n2,HNT293482349210208,HNT_D_3000,USD,2750.00,2025-02-06,DR,234213241235,Amazon Marketplace,Amazon Marketplace,Seattle WA US,CreditParty,HNT23_jalskdjfalksjfiei234,Jhon Doe,Jhon,Doe,123 WhiteField DR US
12315009,ALERT1234141,"Large value card transactions for purchase, Large repetitive card usage at the same merchant",TM,Yes,HNTchdo_kjieo3ju4b2ki23ur23b2i4n2,HNT293482349210209,HNT_D_3000,USD,3100.00,2025-02-07,CR,HNT23_jalskdjfalksjfiei234,Jhon Doe,Doe,123 WhiteField DR US,Individual,900000000001,Emily Carter,Emily,Carter,88 Pine St Boston MA US
